BO_PKG_NAME,TP UNV NAME,CUID
BO_DWH_MONITOR_R17A_b110.zip,DWH Monitor,AWvK9b4y6IZFjveDjX5Ucrg
BO_E_BBSC_R2B_b6.zip,TP Broadband Service Controller PM,AU9Fh6Tqz0JMh.nby4cm4Ts
BO_E_BSS_R28D_b134.zip,TP Ericsson BSS PM,AWqWvfprtFpDs7caG5SC7Ac
BO_E_BTSG2_R3B_b14.zip,TP Ericsson BTSG2 PM,ATTPIS_Xk3FFsGgw4ie9S.s
BO_E_BULK_CM_R12C_b87.zip,TP Ericsson BULK CM Core,AZEjjdXEvwVDmo7Thpxr1rw
BO_E_BULK_CM_R12C_b87.zip,TP Ericsson BULK CM Equipment,Ad0mzpcgbrFInsAnTCeFJT0
BO_E_BULK_CM_R12C_b87.zip,TP Ericsson BULK CM LTE Radio,Acb_gG5Gq1VKly.9oE1EhmI
BO_E_BULK_CM_R12C_b87.zip,TP Ericsson BULK CM LTE Radio Ext,AUj1JupBHhRPmMzjR3HWAyM
BO_E_BULK_CM_R12C_b87.zip,TP Ericsson BULK CM O&M,Aefw3Ua7s99Dg1WS4Ok3TTY
BO_E_BULK_CM_R12C_b87.zip,TP Ericsson BULK CM RBS Radio,AcAfY4GkcEBGg0_NH2II8E8
BO_E_BULK_CM_R12C_b87.zip,TP Ericsson BULK CM RNC Radio,AVvVcSiaR91JjkZ5apPAAYc
BO_E_BULK_CM_R12C_b87.zip,TP Ericsson BULK CM Transport,AaPIlGuFQV1HgWjhXKJVzGY
BO_E_BULK_CM_R12C_b87.zip,TP Ericsson BULK CM Transport Ext,Ad_uriIcvL5LtcJ7HY6uWW4
BO_E_CMN_STS_PC_R1D_b29.zip,TP Ericsson Common STS PC PM,AarAHTOz0pZBmBYEOODouh4
BO_E_CMN_STS_R10A_b28.zip,TP Ericsson Common AXE PM,Aa5IQVA5ORZIkpozrMQR1Y4
BO_E_CNAXE_R26D_b107.zip,TP Core Network AXE PM Extended,AU44WmCttthBjqIUP4oAoOs
